Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price
compact-thermostat-oven,Compact Thermostat Oven,"```html
<p><strong>Compact Thermostat Oven</strong></p>
<p>Experience precise cooking with our Compact Thermostat Oven, designed for efficiency and convenience.</p>
<ul>
    <li>Compact design for easy storage</li>
    <li>Accurate temperature control</li>
    <li>Energy-efficient performance</li>
    <li>Ideal for small kitchens</li>
</ul>
```",Hull Inc,Home & Kitchen,,in_stock,30x40 cm,SaddleBrown,7695934105636,685
wireless-watch-tablet-printer-automatic-eco-sense,Wireless Watch Tablet Printer Automatic Eco Sense,"```html
<p><strong>Wireless Watch Tablet Printer Automatic Eco Sense</strong></p>
<p>Might poor animal must protect blue forward.</p>
```",Fleming Inc,Smartwatches,,out_of_stock,Large,Sienna,1089969929675,59
automatic-blender,Automatic Blender,"```html
<h1>Automatic Blender</h1>
<p>Smile human machine section bank.</p>
```",Mahoney-Bryan,Home Decor,,backorder,8x10 in,LightGoldenRodYellow,310774792552,630
rechargeable-webcam-dock-heater,Rechargeable Webcam Dock Heater,"```html
<p><strong>Rechargeable Webcam Dock Heater</strong></p>
<p>Stay warm and organized with our innovative Rechargeable Webcam Dock Heater. Perfect for your workspace, this heater combines functionality with modern design.</p>
<ul>
    <li>Rechargeable for convenience</li>
    <li>Compact design fits any workspace</li>
    <li>Provides warmth while you work</li>
    <li>Easy to use and maintain</li>
</ul>
```",Kennedy-Gordon,Cycling,,in_stock,XXL,Brown,1340784358003,800
clean-toaster-oven-air-touch,Clean Toaster Oven Air Touch,"```html
<p><strong>Clean Toaster Oven Air Touch</strong></p>
<p>Experience the perfect blend of style and functionality with our Clean Toaster Oven Air Touch. Crafted from high-quality materials, this toaster oven is designed to elevate your cooking experience.</p>
<ul>
    <li>Heavy-duty construction for durability</li>
    <li>Elegant design that complements any kitchen</li>
    <li>Easy-to-use touch controls for convenience</li>
</ul>
```",Olsen-Sawyer,Kids' Clothing,,pre_order,Medium,LimeGreen,7806787405877,365
brush,Brush,"```html
<p><strong>Brush</strong></p>
<p>Control daughter effect investment piece training nation.</p>
```","Lowe, Mosley and Rivera",Bedding & Bath,,in_stock,S,RoyalBlue,168419438521,273
portable-kettle,Portable Kettle,"```html
<p><strong>Portable Kettle</strong></p>
<p>Experience the convenience of our Portable Kettle, designed for on-the-go lifestyles. Perfect for travel, camping, or home use.</p>
<ul>
    <li>Compact and lightweight design</li>
    <li>Fast boiling time</li>
    <li>Durable and easy to clean</li>
    <li>Safety features included</li>
</ul>
<p>Enjoy hot beverages wherever you are!</p>
```",Sampson-Leon,Home & Kitchen,,pre_order,L,MediumAquaMarine,445370808496,50
rechargeable-brush-compact,Rechargeable Brush Compact,"```html
<p><strong>Rechargeable Brush Compact</strong></p>
<p>Experience the convenience of our Rechargeable Brush Compact, designed for modern lifestyles.</p>
<ul>
    <li>Compact and portable design</li>
    <li>Rechargeable for eco-friendly use</li>
    <li>Perfect for on-the-go touch-ups</li>
</ul>
```",Castro-Mccarty,Automotive,,out_of_stock,S,Sienna,6855062072649,748
fast-heater-cooker-compact-silent,Fast Heater Cooker Compact Silent,"```html
<p><strong>Fast Heater Cooker Compact Silent</strong></p>
<p>Strategy fund mind rather change.</p>
```","Decker, Montes and Logan",Makeup,,in_stock,8x10 in,Orchid,3868467036959,367
mini-drone-x-portable,Mini Drone X Portable,"```html
<p><strong>Mini Drone X Portable</strong></p>
<p>Experience the thrill of flight with the Mini Drone X Portable. This compact drone is designed for easy portability, making it perfect for on-the-go adventures.</p>
<ul>
    <li>Lightweight and compact design</li>
    <li>High-quality camera for stunning aerial photos</li>
    <li>Easy to control with a user-friendly interface</li>
    <li>Durable construction for long-lasting use</li>
    <li>Ideal for beginners and experienced pilots alike</li>
</ul>
```",Whitney Group,Books & Stationery,,backorder,Medium,BlueViolet,9437200314292,352
heater-keyboard,Heater Keyboard,"```html
<p><strong>Heater Keyboard</strong></p>
<p>Remember here kind enjoy source room reflect be.</p>
```",Brooks and Sons,Office Supplies,,backorder,Extra Large,Chocolate,5328785590239,103
wireless-fan-thermostat-max-automatic-max,Wireless Fan Thermostat Max Automatic Max,"```html
<p><strong>Wireless Fan Thermostat Max Automatic Max</strong></p>
<p>Designed specifically for college dorms and green spaces, this thermostat offers optimal temperature control for your environment.</p>
<ul>
    <li>Automatic temperature regulation</li>
    <li>Energy-efficient design</li>
    <li>Easy installation</li>
    <li>Compatible with various fan models</li>
</ul>
```",Kaiser-Banks,Books & Stationery,,in_stock,5x7 in,MidnightBlue,1396411470228,423
fast-keyboard,Fast Keyboard,"```html
<h1>Fast Keyboard</h1>
<p>Success other institutions fear.</p>
```",Lewis Ltd,Camping & Hiking,,limited_stock,50x70 cm,Cyan,3163238295239,998
ultra-mixer-toaster-toaster-smart,Ultra Mixer Toaster Toaster Smart,"```html
<p><strong>Ultra Mixer Toaster Smart</strong></p>
<p>Much guess have pattern southern true hair miss.</p>
```",Galloway and Sons,Women's Clothing,,pre_order,S,Tomato,4862330962177,342
silent-speakerphone-scanner-monitor,Silent Speakerphone Scanner Monitor,"```html
<p><strong>Silent Speakerphone Scanner Monitor</strong></p>
<p>Experience quality and efficiency with our Silent Speakerphone Scanner Monitor. Designed for professionals, this device enhances communication while maintaining a discreet presence.</p>
<ul>
    <li>High-quality audio performance</li>
    <li>Compact and sleek design</li>
    <li>Easy to use and set up</li>
    <li>Perfect for meetings and conference calls</li>
</ul>
```",Cowan Inc,Fragrances,,discontinued,XXL,Navy,1710131812265,593
silent-scanner-monitor-treadmill,Silent Scanner Monitor Treadmill,"```html
<p><strong>Silent Scanner Monitor Treadmill</strong></p>
<p>Experience a new level of fitness with the Silent Scanner Monitor Treadmill. Designed for convenience and performance, this treadmill is perfect for home workouts.</p>
<ul>
    <li>Quiet operation for a peaceful workout experience</li>
    <li>Advanced scanning monitor to track your progress</li>
    <li>Compact design suitable for any space</li>
    <li>Durable construction for long-lasting use</li>
</ul>
<p>Get started on your fitness journey today!</p>
```","Nichols, Howe and Miller",Health & Wellness,,pre_order,10x10 cm,Wheat,1287056757693,30
fast-vacuum-cooler,Fast Vacuum Cooler,"```html
<h1>Fast Vacuum Cooler</h1>
<p>The Fast Vacuum Cooler is designed to provide efficient cooling for your products. Here are six key features:</p>
<ul>
    <li><strong>Rapid Cooling:</strong> Quickly lowers the temperature of your items.</li>
    <li><strong>Energy Efficient:</strong> Uses less power compared to traditional cooling methods.</li>
    <li><strong>Compact Design:</strong> Fits easily into any workspace without taking up too much room.</li>
    <li><strong>Durable Construction:</strong> Built to last with high-quality materials.</li>
    <li><strong>User-Friendly Controls:</strong> Simple interface for easy operation.</li>
    <li><strong>Versatile Applications:</strong> Ideal for various industries, including food and pharmaceuticals.</li>
</ul>
```",Blair-Russell,Sports & Outdoors,,limited_stock,L,LightSalmon,4874329354658,307
digital-trimmer,Digital Trimmer,"```html
<p><strong>Digital Trimmer</strong></p>
<p>Experience precision and convenience with our Digital Trimmer. Perfect for achieving clean lines and a polished look.</p>
<ul>
    <li>High-quality design</li>
    <li>Easy to use</li>
    <li>Compact and portable</li>
</ul>
```",Christian-Tanner,Laptops & Computers,,pre_order,M,SteelBlue,4147810179628,541
automatic-trimmer-sense,Automatic Trimmer Sense,"```html
<p><strong>Automatic Trimmer Sense</strong></p>
<p>Much table ground information news senior.</p>
```",Harrington-Valentine,Kitchen Appliances,,in_stock,8x10 in,SlateGray,524638185,405
portable-scooter-wireless-digital,Portable Scooter Wireless Digital,"```html
<p><strong>Portable Scooter Wireless Digital</strong></p>
<p>Experience the convenience of our Portable Scooter Wireless Digital. This innovative product offers a range of features designed to enhance your mobility experience.</p>
<ul>
    <li>Lightweight and easy to carry</li>
    <li>Wireless connectivity for seamless operation</li>
    <li>Durable construction for long-lasting use</li>
    <li>Compact design for easy storage</li>
    <li>Ideal for both indoor and outdoor use</li>
</ul>
<p>Discover the freedom of movement with our Portable Scooter Wireless Digital.</p>
```",Bauer Inc,Cameras & Accessories,,in_stock,Large,DeepSkyBlue,4564280934296,519
fridge-cooker,Fridge Cooker,"```html
<p><strong>Fridge Cooker</strong></p>
<p>Try better loss pretty special.</p>
```",Jackson Group,Furniture,,in_stock,Small,Black,1861389468671,393
scanner,Scanner,"```html
<p><strong>Scanner</strong></p>
<p>Draw material quickly with the Scanner.</p>
```","Wang, Ayala and Bowen",Cleaning Supplies,,backorder,12x18 in,ForestGreen,7794860625802,472
ultra-radio-radio,Ultra Radio Radio,"```html
<p><strong>Ultra Radio Radio</strong></p>
<p>Shoulder red boy away if.</p>
```",Maldonado-Ritter,Haircare,,pre_order,12x18 in,Aquamarine,3611080124547,382
router,Router,"```html
<p><strong>Router</strong></p>
<p>Investment in your connectivity is essential. Our router offers reliable performance for all your internet needs.</p>
<ul>
    <li>High-speed internet access</li>
    <li>Easy setup and management</li>
    <li>Secure connection for all your devices</li>
</ul>
```",Atkinson Inc,Laptops & Computers,,limited_stock,8x10 in,Gainsboro,3330396409604,375
fast-thermostat-microphone-scooter,Fast Thermostat Microphone Scooter,"```html
<p><strong>Fast Thermostat Microphone Scooter</strong></p>
<p>Nature notice themselves news.</p>
```",Shea Ltd,Beauty & Personal Care,,backorder,Extra Large,White,9265397743935,289
eco-heater-toaster-stove-silent-sense,Eco Heater Toaster Stove Silent Sense,"```html
<p><strong>Eco Heater Toaster Stove Silent Sense</strong></p>
<p>Understand still or summer rule.</p>
```",West Ltd,Cleaning Supplies,,limited_stock,Small,OldLace,5505866454530,232
clean-blender-scale-lite,Clean Blender Scale Lite,"```html
<p><strong>Clean Blender Scale Lite</strong></p>
<p>Final art some push.</p>
```","Bell, Gamble and Barrett",Camping & Hiking,,limited_stock,5x7 in,Aquamarine,3893594435450,241
smart-lamp,Smart Lamp,"```html
<p><strong>Smart Lamp</strong></p>
<p>This innovative Smart Lamp is designed to enhance your living space with modern technology and style.</p>
<ul>
    <li>Energy-efficient LED lighting</li>
    <li>Adjustable brightness settings</li>
    <li>Smartphone compatibility for remote control</li>
    <li>Stylish design that fits any decor</li>
</ul>
```","Hebert, Hughes and Trujillo",Bedding & Bath,,limited_stock,Medium,Brown,8264263605712,71
